decade,avg_home_price,avg_income,avg_price_to_income_ratio,avg_adj_home_price,avg_adj_income
1980,98933.33333333333,25523.333333333332,3.855714205327979,225782.81613727196,58461.73723489584
1990,135135.0,34038.0,3.974730514969456,233079.7488895696,58657.39167611299
2000,210740.0,45912.0,4.576669435251355,281054.09923008014,61416.38039348583
2010,281122.5,56618.0,4.955230115280687,305750.5085237931,61651.555852756326
2020,392656.25,73495.0,5.333137860215178,359840.73855472344,67520.04384213143
